word, absfrequency, relfrequency
rags,8,0.01
red,8,0.01
resk,8,0.01
rob,8,0.01
robbers,8,0.01
rogers,8,0.01
rooms,8,0.01
royal,8,0.01
saved,8,0.01
sawed,8,0.01
scratch,8,0.01
sea,8,0.01
secret,8,0.01
see;,8,0.01
self,8,0.01
sharp,8,0.01
shooting,8,0.01
shouting,8,0.01
sixteen,8,0.01
slouch,8,0.01
sophia,8,0.01
south,8,0.01
speak,8,0.01
spiders,8,0.01
square,8,0.01
stern,8,0.01
storm,8,0.01
studying,8,0.01
texas,8,0.01
things;,8,0.01
thread,8,0.01
tis,8,0.01
to-night,8,0.01
tore,8,0.01
traps,8,0.01
twain,8,0.01
twas,8,0.01
twelve,8,0.01
warm,8,0.01
watchman,8,0.01
wife,8,0.01
willows,8,0.01
wonder,8,0.01
wonderful,8,0.01
woodpile,8,0.01
wore,8,0.01
worry,8,0.01
yes;,8,0.01
yit,8,0.01
-,7,0.01
_his_,7,0.01
_would_,7,0.01
a-holt,7,0.01
accounts,7,0.01
acted,7,0.01
amount,7,0.01
and--,7,0.01
aroun,7,0.01
ashamed,7,0.01
banks,7,0.01
begins,7,0.01
bein,7,0.01
birds,7,0.01
bite,7,0.01
blowed,7,0.01
booming,7,0.01
boots,7,0.01
bow,7,0.01
bright,7,0.01
bring,7,0.01
broad,7,0.01
broken,7,0.01
brought,7,0.01
budge,7,0.01
butter,7,0.01
calico,7,0.01
came,7,0.01
chance;,7,0.01
chin,7,0.01
cleared,7,0.01
common,7,0.01
company,7,0.01
conscience,7,0.01
crazy,7,0.01
curious,7,0.01
deck,7,0.01
deed,7,0.01
deef,7,0.01
dem,7,0.01
distributing,7,0.01
dr,7,0.01
dress,7,0.01
drove,7,0.01
druther,7,0.01
ebooks,7,0.01
foolish,7,0.01
fools,7,0.01
g,7,0.01
garden,7,0.01
goin,7,0.01
good;,7,0.01
gown,7,0.01
grangerfords,7,0.01
harper,7,0.01
haven,7,0.01
hogs,7,0.01
holding,7,0.01
hollered,7,0.01
huck;,7,0.01
hugged,7,0.01
hunting,7,0.01
husband,7,0.01
hut,7,0.01
iii,7,0.01
islands,7,0.01
jumps,7,0.01
knife,7,0.01
lead,7,0.01
lean-to,7,0.01
least,7,0.01
lemme,7,0.01
level,7,0.01
lies,7,0.01
lieve,7,0.01
loafers,7,0.01
london,7,0.01
lookout,7,0.01
los,7,0.01
low-down,7,0.01
mainly,7,0.01
meal,7,0.01
means,7,0.01
mrs,7,0.01
news,7,0.01
p,7,0.01
packard,7,0.01
palace,7,0.01
pass,7,0.01
passage,7,0.01
